abstract,abstract_source,added_on,altmetric_id,altmetric_jid,authors,cited_by_accounts_count,cited_by_fbwalls_count,cited_by_feeds_count,cited_by_msm_count,cited_by_patents_count,cited_by_posts_count,cited_by_tweeters_count,cohorts,context,details_url,dimensions_publication_id,doi,epubdate,handles,history,images,is_oa,isbns,issns,journal,last_updated,pmc,pmid,pubdate,published_on,publisher_subjects,readers,readers_count,schema,scopus_subjects,score,subjects,title,type,url
"Stereo-electroencephalography (SEEG) is a procedure performed for patients with intractable epilepsy in order to anatomically define the epileptogenic zone (EZ) and the possible related functional cortical areas. By avoiding the need for large craniotomies and due to its intrinsic precision placement features, SEEG may be associated with fewer complications. Nevertheless, intracerebral electrodes have gained a reputation of excessive invasiveness, with a ""relatively high morbidity"" associated with their placement. A systematic literature review and meta-analysis of SEEG complications has not been previously performed. The goal of this study is to quantitatively review the incidence of various surgical complications associated with SEEG electrode implantation in the literature and to provide a summary estimate. This will allow physicians to accurately counsel their patients about the potential complications related to this method of extraoperative invasive monitoring.
The systematic review was conducted following Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA). We conducted MEDLINE, Scopus, and Web of Science database searches with the search algorithm. We analyzed complication rates using a fixed-effects model with inverse variance weighting. Calculations for the meta-analysis and construction of forest plots were completed using an established spreadsheet. The principal summary measures were the effect summary value and 95% confidence intervals (CIs).
The initial 1,901 retrieved citations were reviewed. After removing 787 duplicates, the titles and abstracts of 1,114 publications were screened. At this stage, studies that did not mention the absence or presence of complications following SEEG or that did not fulfill the inclusion criteria in any manner were excluded. After excluding 1,057 citations, the full text was assessed in the resulting 57 articles for eligibility criteria. The most common complications were hemorrhagic (pooled prevalence 1.0%, 95% confidence interval [CI] 0.6-1.4%) or infectious (pooled prevalence 0.8%, 95% CI 0.3-1.2%). Five mortalities were identified (pooled prevalence 0.3%, 95% CI -0.1-0.6%). Overall, our analysis identified 121 surgical complications related to SEEG insertion and monitoring (pooled prevalence 1.3%, 95% CI 0.9-1.7%).
This review represents a comprehensive estimation of the actual incidence of complications related to SEEG. We report a rate substantially lower than the complication rates reported for other methods of extraoperative invasive monitoring. These data should alleviate the concerns of some regarding the safety of the ""stereotactic"" method, allowing a better decision process among the different methods of invasive monitoring and ameliorating the fear associated with the placement of depth electrodes.",,1456122781,5909855,4f6fa4eb3cf058f6100027f4,"['Jeffrey P Mullin', 'Michael Shriver', 'Soha Alomar', 'Imad Najm', 'Juan Bulacio', 'Patrick Chauvel', 'Jorge Gonzalez-Martinez']",9,,,,,10,9,"{'com': 1, 'pub': 7, 'sci': 1}","{'all': {'count': 26558784, 'mean': 10.926065713550743, 'rank': 6800030, 'pct': 74, 'higher_than': 19752058}, 'journal': {'count': 6016, 'mean': 9.747734375, 'rank': 2340, 'pct': 61, 'higher_than': 3673}, 'similar_age_3m': {'count': 314287, 'mean': 12.917143814411668, 'rank': 84610, 'pct': 73, 'higher_than': 229620}, 'similar_age_journal_3m': {'count': 72, 'mean': 6.075333333333333, 'rank': 18, 'pct': 75, 'higher_than': 54}}",https://www.altmetric.com/details.php?citation_id=5909855,pub.1052263042,10.1111/epi.13298,1456012800,[],"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 5.449999999999999}","{'small': 'https://badges.altmetric.com/?size=64&score=6&types=tttttttt', 'medium': 'https://badges.altmetric.com/?size=100&score=6&types=tttttttt', 'large': 'https://badges.altmetric.com/?size=180&score=6&types=tttttttt'}",False,[],"['0013-9580', '1528-1167']",Epilepsia,1644988660,,26899389,1456790400,1456012800,"[{'name': 'Clinical Sciences', 'scheme': 'era'}, {'name': 'Neurosciences', 'scheme': 'era'}]","{'citeulike': '0', 'mendeley': '324', 'connotea': '0'}",324,1.5.4,"['Medicine', 'Life Sciences', 'Health Sciences', 'Neuroscience']",5.449999999999999,"['neurology', 'brain']",Is SEEG safe? A systematic review and meta‐analysis of stereo‐electroencephalography–related complications,article,http://dx.doi.org/10.1111/epi.13298
,,1588583110,81178546,4f6fa6293cf058f610007d98,"['Jorge Gonzalez-Martinez', 'Jeffrey Mullin', 'Sumeet Vadera', 'Juan Bulacio', 'Gwyneth Hughes', 'Stephen Jones', 'Rei Enatsu', 'Imad Najm']",2,,,,2,2,,[],"{'all': {'count': 25377790, 'mean': 10.746163337154263, 'rank': 8537346, 'pct': 43, 'higher_than': 11118421}, 'journal': {'count': 6769, 'mean': 8.78445708376422, 'rank': 3097, 'pct': 27, 'higher_than': 1892}, 'similar_age_3m': {'count': 318655, 'mean': 8.440128446125119, 'rank': 96309, 'pct': 47, 'higher_than': 152006}, 'similar_age_journal_3m': {'count': 52, 'mean': 26.436615384615383, 'rank': 27, 'pct': 44, 'higher_than': 23}}",https://www.altmetric.com/details.php?citation_id=81178546,pub.1071078433,10.3171/2013.11.jns13635,1388707200,[],"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 3}","{'small': 'https://badges.altmetric.com/?size=64&score=3&types=aaaaaaaa', 'medium': 'https://badges.altmetric.com/?size=100&score=3&types=aaaaaaaa', 'large': 'https://badges.altmetric.com/?size=180&score=3&types=aaaaaaaa'}",False,[],"['0022-3085', '1933-0693']",Journal of Neurosurgery,1670889600,,24405074,1393632000,1388707200,"[{'name': 'Clinical Sciences', 'scheme': 'era'}, {'name': 'Neurosciences', 'scheme': 'era'}]","{'citeulike': '0', 'mendeley': '200', 'connotea': '0'}",200,1.5.4,"['Medicine', 'Health Sciences']",3,,Stereotactic placement of depth electrodes in medically intractable epilepsy.,article,http://dx.doi.org/10.3171/2013.11.jns13635
"Stereotactic laser ablation offers an advantage over open surgical procedures for treatment of epileptic foci, tumors, and other brain pathology. Robot-assisted stereotactic laser ablation could offer an accurate, efficient, minimally invasive, and safe method for placement of an ablation catheter into the target.",pubmed,1390483756,2066814,4f6fa62f3cf058f6100082b6,"['Jorge Gonzalez-Martinez', 'Sumeet Vadera', 'Jeffrey Mullin', 'Rei Enatsu', 'Andreas V. Alexopoulos', 'Ravish Patwardhan', 'William Bingaman', 'Imad Najm']",7,,,3,1,8,3,{'pub': 3},"{'all': {'count': 25373627, 'mean': 10.745293783659706, 'rank': 1190070, 'pct': 95, 'higher_than': 24180243}, 'journal': {'count': 5705, 'mean': 6.8343884312007015, 'rank': 154, 'pct': 97, 'higher_than': 5551}, 'similar_age_3m': {'count': 240961, 'mean': 9.323857072306305, 'rank': 11440, 'pct': 95, 'higher_than': 229484}, 'similar_age_journal_3m': {'count': 29, 'mean': 14.180620689655173, 'rank': 6, 'pct': 79, 'higher_than': 23}}",https://www.altmetric.com/details.php?citation_id=2066814,pub.1022833398,10.1227/neu.0000000000000286,,,"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 33}","{'small': 'https://badges.altmetric.com/?size=64&score=33&types=mmmmattt', 'medium': 'https://badges.altmetric.com/?size=100&score=33&types=mmmmattt', 'large': 'https://badges.altmetric.com/?size=180&score=33&types=mmmmattt'}",False,,"['0148-396X', '1524-4040']",Neurosurgery,1670889600,,24448180,1401580800,1401580800,"[{'name': 'Clinical Sciences', 'scheme': 'era'}, {'name': 'Neurosciences', 'scheme': 'era'}]","{'citeulike': '0', 'mendeley': '167', 'connotea': '0'}",167,1.5.4,"['Medicine', 'Health Sciences']",33,['neurosurgery'],Robot-Assisted Stereotactic Laser Ablation in Medically Intractable Epilepsy: Operative Technique,article,http://dx.doi.org/10.1227/neu.0000000000000286
,,1660099578,133872088,4f6fa5143cf058f6100035a8,"['Mohamed A R Soliman', 'Alexander O Aguirre', 'Cathleen C Kuo', 'Nicco Ruggiero', 'Shady Azmy', 'Asham Khan', 'Moleca M Ghannam', 'Neil D Almeida', 'Patrick K Jowdy', 'Jeffrey P Mullin', 'John Pollina']",7,,,,,7,7,"{'pub': 6, 'doc': 1}","{'all': {'count': 26169168, 'mean': 10.850393734489383, 'rank': 5530505, 'pct': 78, 'higher_than': 20621167}, 'journal': {'count': 3928, 'mean': 6.423131364562119, 'rank': 705, 'pct': 82, 'higher_than': 3222}, 'similar_age_3m': {'count': 437064, 'mean': 15.030150627825686, 'rank': 108527, 'pct': 75, 'higher_than': 328140}, 'similar_age_journal_3m': {'count': 68, 'mean': 3.326470588235294, 'rank': 12, 'pct': 82, 'higher_than': 56}}",https://www.altmetric.com/details.php?citation_id=133872088,pub.1150124104,10.1016/j.spinee.2022.08.002,1660089600,[],"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 6.35}","{'small': 'https://badges.altmetric.com/?size=64&score=7&types=tttttttt', 'medium': 'https://badges.altmetric.com/?size=100&score=7&types=tttttttt', 'large': 'https://badges.altmetric.com/?size=180&score=7&types=tttttttt'}",False,[],"['1529-9430', '1878-1632']",Spine Journal,1667763088,,35961523,1669852800,1660089600,"[{'name': 'Clinical Sciences', 'scheme': 'era'}, {'name': 'Neurosciences', 'scheme': 'era'}]","{'citeulike': '0', 'mendeley': '16', 'connotea': '0'}",16,1.5.4,"['Medicine', 'Health Sciences']",6.35,,Vertebral bone quality score independently predicts cage subsidence following transforaminal lumbar interbody fusion,article,http://dx.doi.org/10.1016/j.spinee.2022.08.002
"Although stereoelectroencephalography (SEEG) has been shown to be a valuable tool for preoperative decision making in focal epilepsy, there are few reports addressing the utility and safety of SEEG methodology applied to children and adolescents.",pubmed,1410772795,2683680,4f6fa62f3cf058f6100082b6,"['Jorge Gonzalez-Martinez', 'Jeffrey Mullin', 'Juan Bulacio', 'Ajay Gupta', 'Rei Enatsu', 'Imad Najm', 'William Bingaman', 'Elaine Wyllie', 'Deepak Lachhwani']",3,,,,1,3,2,{'pub': 2},"{'all': {'count': 25371288, 'mean': 10.745266393255244, 'rank': 6874583, 'pct': 72, 'higher_than': 18450537}, 'journal': {'count': 5705, 'mean': 6.8352210341805435, 'rank': 1588, 'pct': 71, 'higher_than': 4097}, 'similar_age_3m': {'count': 248664, 'mean': 9.496666795354377, 'rank': 62876, 'pct': 74, 'higher_than': 185306}, 'similar_age_journal_3m': {'count': 55, 'mean': 9.75189090909091, 'rank': 15, 'pct': 70, 'higher_than': 39}}",https://www.altmetric.com/details.php?citation_id=2683680,pub.1001831525,10.1227/neu.0000000000000453,,[],"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 4.85}","{'small': 'https://badges.altmetric.com/?size=64&score=5&types=aaattttt', 'medium': 'https://badges.altmetric.com/?size=100&score=5&types=aaattttt', 'large': 'https://badges.altmetric.com/?size=180&score=5&types=aaattttt'}",False,[],"['0148-396X', '1524-4040']",Neurosurgery,1670889600,,24887288,1409529600,1409529600,"[{'name': 'Clinical Sciences', 'scheme': 'era'}, {'name': 'Neurosciences', 'scheme': 'era'}]","{'citeulike': '0', 'mendeley': '104', 'connotea': '0'}",104,1.5.4,"['Medicine', 'Health Sciences']",4.85,['neurosurgery'],Stereoelectroencephalography in children and adolescents with difficult-to-localize refractory focal epilepsy.,article,http://dx.doi.org/10.1227/neu.0000000000000453
,,1674207513,141566091,4f6fa62f3cf058f6100082b6,"['Sumeet Vadera', 'Jeffrey Mullin', 'Juan Bulacio', 'Imad Najm', 'William Bingaman', 'Jorge Gonzalez-Martinez']",1,,,,1,1,,[],"{'all': {'count': 25371288, 'mean': 10.745266393255244, 'rank': 8533995, 'pct': 43, 'higher_than': 11115459}, 'journal': {'count': 5705, 'mean': 6.834519894829097, 'rank': 2109, 'pct': 37, 'higher_than': 2135}, 'similar_age_3m': {'count': 204326, 'mean': 9.147539373354347, 'rank': 70673, 'pct': 48, 'higher_than': 99321}, 'similar_age_journal_3m': {'count': 41, 'mean': 3.1902439024390246, 'rank': 11, 'pct': 60, 'higher_than': 25}}",https://www.altmetric.com/details.php?citation_id=141566091,pub.1004093658,10.1227/neu.0b013e318285b4ae,,[],"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 3}","{'small': 'https://badges.altmetric.com/?size=64&score=3&types=aaaaaaaa', 'medium': 'https://badges.altmetric.com/?size=100&score=3&types=aaaaaaaa', 'large': 'https://badges.altmetric.com/?size=180&score=3&types=aaaaaaaa'}",False,[],"['0148-396X', '1524-4040']",Neurosurgery,1670889600,,23313979,1367366400,1367366400,"[{'name': 'Clinical Sciences', 'scheme': 'era'}, {'name': 'Neurosciences', 'scheme': 'era'}]","{'citeulike': '0', 'mendeley': '89', 'connotea': '0'}",89,1.5.4,"['Medicine', 'Health Sciences']",3,,Stereoelectroencephalography Following Subdural Grid Placement for Difficult to Localize Epilepsy,article,http://dx.doi.org/10.1227/neu.0b013e318285b4ae
"The aims of this retrospective cohort study were to: 1) identify new alignment risk factors for proximal junctional kyphosis (PJK) in adult spinal deformity (ASD) patients with lower thoracic upper instrumented vertebra (UIV); and 2) determine the effect of junctional tethers on PJK and UIV alignment.
We analyzed consecutive ASD patients who underwent posterior instrumented fusion with lower thoracic UIV (T9-T11). Posteriorly-anchored junctional tethers were utilized more recently for ligamentous augmentation to prevent PJK. In addition to regional and global parameters, upper vs. lower segmental lumbar lordosis (ULL, LLL) and UIV angle (measured from UIV inferior endplate to horizontal) were assessed. Primary outcome of PJK was defined as proximal junctional angle >10° and >10° greater than the corresponding preoperative measurement. Uni- and multivariable analyses were performed.
The study cohort comprised 120 ASD patients (mean age 67 years) with minimum 1-year follow-up. Preoperative ULL (p=0.034) and UIV angle (p=0.026) were associated with PJK. No independent preoperative alignment risk factors of PJK were identified in multivariable analysis. Tether use was protective against PJK (OR=0.063 [0.016 - 0.247], p<0.001). PJK in tethered patients was more common with greater postoperative ULL (p=0.047) and UIV angle (p=0.026).
Junctional tethers significantly reduced PJK in ASD patients with lower thoracic UIV. In tethered patients, PJK was more common with greater postoperative lordosis of the upper lumbar spine and greater UIV angle. This suggests potential benefit of tethers to mitigate effects of segmental lumbar and focal UIV malalignment that may occur after deformity surgery.",,1537093983,48481872,4f6fa63b3cf058f610008d13,"['Thomas J Buell', 'Ching-Jen Chen', 'John C Quinn', 'Avery L Buchholz', 'Marcus D Mazur', 'Jeffrey P Mullin', 'James H Nguyen', 'Davis G Taylor', 'Shay Bess', 'Breton G Line', 'Christopher P Ames', 'Frank J Schwab', 'Virginie Lafage', 'Christopher I Shaffrey', 'Justin S Smith']",1,,,,,1,1,{'pub': 1},"{'all': {'count': 25385509, 'mean': 10.745820662961695, 'rank': 22767715, 'pct': 1, 'higher_than': 0}, 'journal': {'count': 7047, 'mean': 3.471518376614162, 'rank': 5801, 'pct': 1, 'higher_than': 0}, 'similar_age_3m': {'count': 347727, 'mean': 14.149470872264732, 'rank': 304496, 'pct': 1, 'higher_than': 0}, 'similar_age_journal_3m': {'count': 266, 'mean': 2.6373684210526314, 'rank': 201, 'pct': 1, 'higher_than': 0}}",https://www.altmetric.com/details.php?citation_id=48481872,pub.1106905906,10.1016/j.wneu.2018.08.242,1536624000,[],"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 0.25}","{'small': 'https://badges.altmetric.com/?size=64&score=1&types=tttttttt', 'medium': 'https://badges.altmetric.com/?size=100&score=1&types=tttttttt', 'large': 'https://badges.altmetric.com/?size=180&score=1&types=tttttttt'}",False,[],"['1878-8750', '1878-8769']",World Neurosurgery,1537093970,,30217780,1546300800,1536624000,,"{'citeulike': '0', 'mendeley': '54', 'connotea': '0'}",54,1.5.4,,0.25,['neurosurgery'],Alignment Risk Factors for Proximal Junctional Kyphosis and the Effect of Lower Thoracic Junctional Tethers for Adult Spinal Deformity,article,http://dx.doi.org/10.1016/j.wneu.2018.08.242
,,1607997244,95984763,4f6fa63b3cf058f610008d13,"[""Timothy E O'Connor"", ""Mary Margaret O'Hehir"", 'Asham Khan', 'Jennifer Z Mao', 'Lauren C Levy', 'Jeffrey P Mullin', 'John Pollina']",2,,,,,2,2,{'pub': 2},"{'all': {'count': 25387668, 'mean': 10.746735046558827, 'rank': 15179141, 'pct': 38, 'higher_than': 9863975}, 'journal': {'count': 7047, 'mean': 3.471695757059742, 'rank': 2411, 'pct': 64, 'higher_than': 4512}, 'similar_age_3m': {'count': 435995, 'mean': 17.220113698551593, 'rank': 224539, 'pct': 46, 'higher_than': 203003}, 'similar_age_journal_3m': {'count': 191, 'mean': 4.263246073298429, 'rank': 73, 'pct': 58, 'higher_than': 111}}",https://www.altmetric.com/details.php?citation_id=95984763,pub.1131649873,10.1016/j.wneu.2020.10.010,1602460800,[],"{'1y': 0, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 2}","{'small': 'https://badges.altmetric.com/?size=64&score=2&types=tttttttt', 'medium': 'https://badges.altmetric.com/?size=100&score=2&types=tttttttt', 'large': 'https://badges.altmetric.com/?size=180&score=2&types=tttttttt'}",False,[],"['1878-8750', '1878-8769']",World Neurosurgery,1608000036,,33059080,1609459200,1602460800,,"{'citeulike': '0', 'mendeley': '49', 'connotea': '0'}",49,1.5.4,,2,,Mazor X Stealth Robotic Technology: A Technical Note,article,http://dx.doi.org/10.1016/j.wneu.2020.10.010
,,1681906589,146122886,4f6fa62f3cf058f6100082b6,"['Cathleen C. Kuo', 'Mohamed A. R. Soliman', 'Alexander O. Aguirre', 'Nicco Ruggiero', 'Marissa Kruk', 'Asham Khan', 'Moleca M. Ghannam', 'Neil D. Almeida', 'Patrick K. Jowdy', 'David E. Smolar', 'John Pollina', 'Jeffrey P. Mullin']",23,,,,,37,23,"{'pub': 14, 'doc': 4, 'com': 2, 'sci': 2}","{'all': {'count': 26629129, 'mean': 10.93277895871097, 'rank': 2319415, 'pct': 91, 'higher_than': 24307252}, 'journal': {'count': 5910, 'mean': 6.946314043993231, 'rank': 348, 'pct': 94, 'higher_than': 5560}, 'similar_age_3m': {'count': 498363, 'mean': 13.012537844904237, 'rank': 48769, 'pct': 90, 'higher_than': 449515}, 'similar_age_journal_3m': {'count': 120, 'mean': 9.3325, 'rank': 11, 'pct': 90, 'higher_than': 109}}",https://www.altmetric.com/details.php?citation_id=146122886,pub.1154881736,10.1227/neu.0000000000002291,1671408000,[],"{'1y': 9.2, '6m': 0.5, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 16.299999999999997}","{'small': 'https://badges.altmetric.com/?size=64&score=17&types=tttttttt', 'medium': 'https://badges.altmetric.com/?size=100&score=17&types=tttttttt', 'large': 'https://badges.altmetric.com/?size=180&score=17&types=tttttttt'}",False,[],"['0148-396X', '1524-4040']",Neurosurgery,1711739434,,36700747,1682899200,1671408000,"[{'name': 'Clinical Sciences', 'scheme': 'era'}, {'name': 'Neurosciences', 'scheme': 'era'}]","{'citeulike': '0', 'mendeley': '14', 'connotea': '0'}",14,1.5.4,"['Medicine', 'Health Sciences']",16.299999999999997,,Vertebral Bone Quality Score Independently Predicts Proximal Junctional Kyphosis and/or Failure After Adult Spinal Deformity Surgery,article,http://dx.doi.org/10.1227/neu.0000000000002291
,,1701864735,157229177,4f6fa63b3cf058f610008d13,"['Jeffrey P. Mullin', 'Daniel Sexton', 'Soha Al-Omar', 'William Bingaman', 'Jorge Gonzalez-Martinez']",1,,,,1,1,,[],"{'all': {'count': 25373627, 'mean': 10.745293783659706, 'rank': 8534976, 'pct': 43, 'higher_than': 11118051}, 'journal': {'count': 7046, 'mean': 3.4720962248084017, 'rank': 1499, 'pct': 71, 'higher_than': 5043}, 'similar_age_3m': {'count': 311617, 'mean': 12.738708132098056, 'rank': 111674, 'pct': 54, 'higher_than': 170859}, 'similar_age_journal_3m': {'count': 91, 'mean': 2.9480439560439557, 'rank': 17, 'pct': 75, 'higher_than': 69}}",https://www.altmetric.com/details.php?citation_id=157229177,pub.1024312207,10.1016/j.wneu.2016.02.034,1455580800,[],"{'1y': 3, '6m': 0, '3m': 0, '1m': 0, '1w': 0, '6d': 0, '5d': 0, '4d': 0, '3d': 0, '2d': 0, '1d': 0, 'at': 3}","{'small': 'https://badges.altmetric.com/?size=64&score=3&types=aaaaaaaa', 'medium': 'https://badges.altmetric.com/?size=100&score=3&types=aaaaaaaa', 'large': 'https://badges.altmetric.com/?size=180&score=3&types=aaaaaaaa'}",False,[],"['1878-8750', '1878-8769']",World Neurosurgery,1699488000,,26893042,1462060800,1455580800,,"{'citeulike': '0', 'mendeley': '94', 'connotea': '0'}",94,1.5.4,,3,,Outcomes of Subdural Grid Electrode Monitoring in the Stereoelectroencephalography Era,article,http://dx.doi.org/10.1016/j.wneu.2016.02.034
